"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
0,1,"1","DHL (GRUPPO)","Peschiera Borromeo, Italia","MI","1.888.109.013","1.861.017.599","37.953.444","39.399.107","2,01","2,12","N.D.","N.D.",45.4425059,9.3045703113961
1,2,"2","SAVINO DEL BENE GROUP","Firenze, Italia","FI","1.590.659.900","1.601.439.812","35.881.139","27.867.879","2,26","1,74","16,53","14,33",43.7698712,11.2555757
2,3,"3","BRT SPA","Bologna, Italia","BO","1.556.245.416","1.466.412.195","21.543.889","25.709.429","1,38","1,75","28,53","26,93",44.4939334,11.3425798
3,4,"4","TNT GLOBAL EXPRESS","Torino, Italia","TO","1.048.076.896","1.127.616.106","16.886.191","18.783.711","1,61","1,67","16,16","21,44",45.0677551,7.6824892
4,5,"9","SDA EXPRESS COURIER SPA","Roma, Italia","RM","922.421.741","667.015.191","45.457.437","-32.091.290","4,93","-4,81","76,42","-226,38",41.8933203,12.4829321
5,6,"5","FERCAM GROUP (CONS.)","Bolzano, Italia","BZ","814.389.764","831.249.196","10.158.434","4.646.928","1,25","0,56","12,30","10,80",46.65594545,11.2302128708753
6,7,"6","UNITED PARCEL SERVICE ITALIA SRL","Milano, Italia","MI","770.827.747","723.573.906","19.333.568","23.629.699","2,51","3,27","23,50","37,54",45.4641943,9.1896346
7,8,"7","SCHENKER ITALIANA SPA","Peschiera Borromeo, Italia","MI","717.776.683","698.442.473","7.783.486","12.194.434","1,08","1,75","9,89","15,29",45.4425059,9.3045703113961
8,9,"10","DSV SPA","Pioltello, Italia","MI","634.589.445","663.100.635","4.208.683","11.559.844","0,66","1,74","3,12","8,28",45.5010216,9.3263354
9,10,"8","ARCESE TRASPORTI (HOLDING)","Arco, Italia","TN","630.296.451","670.708.519","12.610.067","9.082.660","2,00","1,35","5,62","5,97",45.9181327,10.8860953
10,11,"19","AMAZON ITALIA LOGISTICA SRL","Milano, Italia","MI","608.779.774","365.945.770","16.788.147","13.183.310","2,76","3,60","5,51","5,02",45.4641943,9.1896346
11,12,"13","GLS ITALY (RAGGR.)","San Giuliano Milanese, Italia","MI","599.441.325","579.949.162","33.714.058","65.261.076","5,62","11,25","N.D.","N.D.",45.39427,9.291851
12,13,"11","KUEHNE & NAGEL SPA","Milano, Italia","MI","561.844.006","613.244.343","5.517.080","2.540.811","0,98","0,41","34,64","26,27",45.4641943,9.1896346
13,14,"14","BCUBE SPA","Casale Monferrato, Italia","AL","527.583.589","565.518.812","N.D.","5.656.340","N.D.","1,00","N.D.","N.D.",45.1362661,8.4498127
14,15,"16","J.A.S. JET AIR SERVICE SPA","Segrate, Italia","MI","467.274.748","429.342.747","3.229.491","3.157.327","0,69","0,74","11,76","13,03",45.4907352,9.2948204
15,16,"12","HAVI LOGISTICS SRL","Bomporto, Italia","MO","440.261.859","599.178.289","-236.413","2.451.632","-0,05","0,41","-7,08","39,09",44.72977,11.038401
16,17,"18","GEODIS (AGGR.)","Milano, Italia","MI","400.462.408","377.604.343","3.820.521","3.605.997","0,95","0,95","N.D.","N.D.",45.4641943,9.1896346
17,18,"15","TRANSMEC GROUP (AGGR.)","Campogalliano, Italia","MO","388.500.000","440.800.000","14.800.000","11.500.000","3,81","2,61","N.D.","N.D.",44.6905118,10.8407336
18,19,"17","RHENUS LOGISTICS (CONS.)","Buccinasco, Italia","MI","354.399.000","382.470.273","2.356.000","3.139.416","0,66","0,82","5,74","8,09",45.4223013,9.1082675
19,20,"20","GRUBER (HOLDING)","Ora, Italia","BZ","341.863.232","357.234.534","545.795","1.890.557","0,16","0,53","2,37","5,18",46.3465946,11.2986335
20,21,"26","ITALTRANS SPA","San Paolo d'Argon, Italia","BG","333.971.411","289.986.596","9.030.116","5.767.690","2,70","1,99","12,51","14,66",45.6885572,9.8040661
21,22,"22","CODOGNOTTO GROUP (CONS.)","Salgareda, Italia","TV","313.703.728","320.940.239","2.859.503","2.808.969","0,91","0,88","N.D.","N.D.",45.704123,12.4925871
22,23,"25","NUMBER 1 LOGISTICS (GRP FISI)","Parma, Italia","PR","306.417.206","293.775.358","1.233.973","722.259","0,40","0,25","4,29","2,57",44.8013678,10.3280833
23,24,"23","XPO LOGISTICS (GRUPPO)","Settala, Italia","MI","292.997.006","316.237.780","10.229.862","13.538.726","3,49","4,28","N.D.","N.D.",45.4544127,9.3867659
24,25,"24","S.D.M. SOC. DISTRIB. MERCI SRL","Bologna, Italia","BO","285.233.590","294.879.994","4.987.621","5.062.936","1,75","1,72","3,58","3,77",44.4939334,11.3425798
25,26,"46","NIPPON EXPRESS ITALIA SPA","Scandicci, Italia","FI","281.955.233","143.403.175","8.234.308","3.740.203","2,92","2,61","14,87","15,01",43.7567104,11.1847619
26,27,"21","CEVA LOGISTICS ITALIA SRL","Assago, Italia","MI","276.494.756","326.599.163","-17.115.820","-19.294.433","-6,19","-5,91","-101,61","-107,43",45.4053966,9.1313547
27,28,"N.D.","SMET SPA (CONSOL.)","Salerno, Italia","SA","267.906.315","235.627.751","5.837.852","1.353.700","2,18","0,57","8,35","2,16",40.41944165,15.3107562303225
28,29,"27","STEF ITALIA SPA","San Prospero, Parma, Italia","PR","263.247.553","281.046.128","7.756.942","9.368.467","2,95","3,33","13,92","17,83",44.7842768,10.3978943
29,30,"37","CONSORZIO LOGIST. PACCHI SCPA","Roma, Italia","RM","230.069.601","177.666.966","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",41.8933203,12.4829321
30,31,"31","U. DEL CORONA & SCARDIGLI SRL","Livorno, Italia","LI","208.139.437","189.061.688","5.716.256","5.242.042","2,75","2,77","13,47","14,11",42.7902166,10.340278678735
31,32,"30","ARCO SPEDIZIONI SPA","Monza, Italia","MB","207.746.376","198.131.516","15.572.634","6.367.671","7,50","3,21","25,57","14,36",45.639544,9.27886936922504
32,33,"N.D.","GRUPPO ITALSEMPIONE SPA","Vittuone, Italia","MI","201.593.277","201.312.318","2.906.493","2.868.598","1,44","1,42","12,61","14,33",45.487969,8.952442
33,34,"28","CONTSHIP ITALIA GROUP","Melzo, Italia","MI","197.214.014","275.435.000","29.355.829","63.836.000","14,89","23,18","7,76","28,30",45.4985848,9.4242513
34,35,"32","TORELLO TRASPORTI (CONS.)","Montoro, Italia","AV","196.890.195","182.605.524","1.552.565","990.426","0,79","0,54","6,98","5,82",40.8328763,14.7917765
35,36,"N.D.","PACORINI (GRUPPO)","Trieste, Italia","TS","196.053.000","175.324.000","551.000","-3.799.000","0,28","-2,17","N.D.","N.D.",45.6496485,13.7772781
36,37,"63","SAMAG HOLDING LOGISTICS","Milano, Italia","MI","195.643.211","111.144.231","1.207.885","4.388.240","0,62","3,95","5,30","46,31",45.4641943,9.1896346
37,38,"34","D.B. GROUP SPA (CONS.)","Montebelluna, Italia","TV","189.334.000","180.943.000","4.195.000","3.698.000","2,22","2,04","16,39","20,95",45.7759956,12.0450646
38,39,"39","BRIVIO & VIGANO' HOLDING","Pozzuolo Martesana, Italia","MI","188.579.513","164.925.270","7.731.836","965.809","4,10","0,59","17,96","4,78",45.513975,9.456252
39,40,"29","MERCITALIA INTERMODAL SPA","Milano, Italia","MI","186.061.193","199.208.805","-3.900.224","-2.766.068","-2,10","-1,39","-11,67","-7,41",45.4641943,9.1896346
40,41,"35","ALBINI & PITIGLIANI SPA","Prato, Italia","PO","169.042.592","180.908.851","1.905.043","6.848.225","1,13","3,79","3,00","11,07",43.93571805,11.0941472677009
41,42,"44","DE VIZIA TRANSFER SPA","Torino, Italia","TO","160.986.958","154.589.593","13.748.306","4.827.534","8,54","3,12","25,86","13,54",45.0677551,7.6824892
42,43,"47","INTERGLOBO SRL","Genova, Italia","GE","160.520.987","142.545.706","4.635.557","5.243.354","2,89","3,68","23,57","27,53",44.40726,8.9338624
